datetime,production
2025-04-04 14:00:00,1857
2025-04-04 14:15:00,1877
2025-04-04 14:30:00,1779
2025-04-04 14:45:00,1838
2025-04-04 15:00:00,1722
2025-04-04 15:15:00,1796
2025-04-04 15:30:00,773
2025-04-04 15:45:00,682
2025-04-04 16:00:00,415
2025-04-04 16:15:00,493
2025-04-04 16:30:00,387
2025-04-04 16:45:00,427
2025-04-04 17:00:00,550
2025-04-04 17:15:00,429
2025-04-04 17:30:00,529
2025-04-04 17:45:00,409
2025-04-04 18:00:00,253
2025-04-04 18:15:00,214
2025-04-04 18:30:00,264
2025-04-04 18:45:00,187
2025-04-04 19:00:00,165
2025-04-04 19:15:00,142
2025-04-04 19:30:00,118
2025-04-04 19:45:00,82
2025-04-04 20:00:00,58
2025-04-04 20:15:00,45
2025-04-04 20:30:00,9
2025-04-04 20:45:00,0
2025-04-04 21:00:00,0
2025-04-04 21:15:00,0
2025-03-27 07:00:00,5
2025-03-27 07:15:00,25
2025-03-27 07:30:00,53
2025-03-27 07:45:00,68
2025-03-27 08:00:00,82
2025-03-27 08:15:00,110
2025-03-27 08:30:00,194
2025-03-27 08:45:00,247
2025-03-27 09:00:00,283
2025-03-27 09:15:00,420
2025-03-27 09:30:00,624
2025-03-27 09:45:00,584
2025-03-27 10:00:00,1456
2025-03-27 10:15:00,1372
2025-03-27 10:30:00,1462
2025-03-27 10:45:00,1570
2025-03-27 11:00:00,1613
2025-03-27 11:15:00,1747
2025-03-27 11:30:00,790
2025-03-27 11:45:00,1998
2025-03-27 12:00:00,584
2025-03-27 12:15:00,1923
2025-03-27 12:30:00,2048
2025-03-27 12:45:00,2004
2025-03-27 13:00:00,1914
2025-03-27 13:15:00,1947
2025-03-27 13:30:00,1986
2025-03-27 13:45:00,1905
2025-03-27 14:00:00,1892
2025-03-27 14:15:00,1878
2025-03-27 14:30:00,1846
2025-03-27 14:45:00,1788
2025-03-27 15:00:00,1710
2025-03-27 15:15:00,1626
2025-03-27 15:30:00,1579
2025-03-27 15:45:00,1496
2025-03-27 16:00:00,1402
2025-03-27 16:15:00,1305
2025-03-27 16:30:00,1194
2025-03-27 16:45:00,1090
2025-03-27 17:00:00,971
2025-03-27 17:15:00,844
2025-03-27 17:30:00,716
2025-03-27 17:45:00,586
2025-03-27 18:00:00,448
2025-03-27 18:15:00,309
2025-03-27 18:30:00,190
2025-03-27 18:45:00,102
2025-03-27 19:00:00,49
2025-03-27 19:15:00,23
2025-03-27 19:30:00,3
2025-03-27 19:45:00,0
2025-03-27 20:00:00,0
2025-03-29 06:45:00,0
2025-03-29 07:00:00,14
2025-03-29 07:15:00,31
2025-03-29 07:30:00,49
2025-03-29 07:45:00,72
2025-03-29 08:00:00,114
2025-03-29 08:15:00,168
2025-03-29 08:30:00,141
2025-03-29 08:45:00,131
2025-03-29 09:00:00,149
2025-03-29 09:15:00,166
2025-03-29 09:30:00,244
2025-03-29 09:45:00,1038
2025-03-29 10:00:00,1323
2025-03-29 10:15:00,1433
2025-03-29 10:30:00,615
2025-03-29 10:45:00,1806
2025-03-29 11:00:00,1829
2025-03-29 11:15:00,437
2025-03-29 11:30:00,1678
2025-03-29 11:45:00,1490
2025-03-29 12:00:00,1547
2025-03-29 12:15:00,1735
2025-03-29 12:30:00,1937
2025-03-29 12:45:00,690
2025-03-29 13:00:00,794
2025-03-29 13:15:00,2244
2025-03-29 13:30:00,2174
2025-03-29 13:45:00,2118
2025-03-29 14:00:00,1720
2025-03-29 14:15:00,2024
